fishno,folder,picname,cal ,pop
202100041_A1,PA,202100041_A1_R_W,413,Pacific
202100041_A10,PA,202100041_A10_R_W,413,Pacific
202100041_A12,PA,202100041_A12_R_W,413,Pacific
202100041_A2,PA,202100041_A2_R_W,413,Pacific
202100041_A3,PA,202100041_A3_R_W,413,Pacific
202100041_A4,PA,202100041_A4_R_W,413,Pacific
202100041_A5,PA,202100041_A5_R_W,413,Pacific
202100041_A6,PA,202100041_A6_R_W,413,Pacific
202100041_A7,PA,202100041_A7_R_W,413,Pacific
202100041_A8,PA,202100041_A8_R_W,413,Pacific
202100041_B1,PA,202100041_B1_R_W,413,Pacific
202100041_B10,PA,202100041_B10_R_W,413,Pacific
202100041_B11,PA,202100041_B11_R_W,413,Pacific
202100041_B2,PA,202100041_B2_R_W,413,Pacific
202100041_B3,PA,202100041_B3_R_W,413,Pacific
202100041_B4,PA,202100041_B4_R_W,413,Pacific
202100041_B7,PA,202100041_B7_R_W,413,Pacific
202100041_B8,PA,202100041_B8_R_W,413,Pacific
202100041_C10,PA,202100041_C10_R_W,413,Pacific
202100041_C11,PA,202100041_C11_R_W,413,Pacific
202100041_C12,PA,202100041_C12_R_W,413,Pacific
202100041_C2,PA,202100041_C2_R_W,413,Pacific
202100041_C4,PA,202100041_C4_R_W,413,Pacific
202100041_C5,PA,202100041_C5_R_W,413,Pacific
202100041_C6,PA,202100041_C6_R_W,413,Pacific
202100041_C7,PA,202100041_C7_R_W,413,Pacific
202100041_C8,PA,202100041_C8_R_W,413,Pacific
202100041_C9,PA,202100041_C9_R_W,413,Pacific
202100041_D1,PA,202100041_D1_R_W,413,Pacific
202100041_D10,PA,202100041_D10_R_W,413,Pacific
202100041_D12,PA,202100041_D12_R_W,413,Pacific
202100041_D2,PA,202100041_D2_R_W,413,Pacific
202100041_D3,PA,202100041_D3_R_W,413,Pacific
202100041_D5,PA,202100041_D5_R_W,413,Pacific
202100041_D6,PA,202100041_D6_R_W,413,Pacific
202100041_D7,PA,202100041_D7_R_W,413,Pacific
202100041_D9,PA,202100041_D9_R_W,413,Pacific
202100041_E1,PA,202100041_E1_R_W,413,Pacific
202100041_E11,PA,202100041_E11_R_W,413,Pacific
202100041_E2,PA,202100041_E2_R_W,413,Pacific
202100041_E3,PA,202100041_E3_R_W,413,Pacific
202100041_E4,PA,202100041_E4_R_W,413,Pacific
202100041_E5,PA,202100041_E5_R_W,413,Pacific
202100041_E6,PA,202100041_E6_R_W,413,Pacific
202100041_F1,PA,202100041_F1_R_W,413,Pacific
202100041_F10,PA,202100041_F10_R_W,413,Pacific
202100041_F11,PA,202100041_F11_R_W,413,Pacific
202100041_F3,PA,202100041_F3_R_W,413,Pacific
202100041_F4,PA,202100041_F4_R_W,413,Pacific
202100041_F5,PA,202100041_F5_R_W,413,Pacific
202100041_F6,PA,202100041_F6_R_W,413,Pacific
202100041_F7,PA,202100041_F7_R_W,413,Pacific
202100041_F8,PA,202100041_F8_L_W,413,Pacific
202100041_G1,PA,202100041_G1_R_W,413,Pacific
202100041_G11,PA,202100041_G11_R_W,413,Pacific
202100041_G12,PA,202100041_G12_R_W,413,Pacific
202100041_G2,PA,202100041_G2_R_W,413,Pacific
202100041_G3,PA,202100041_G3_R_W,413,Pacific
202100041_G4,PA,202100041_G4_R_W,413,Pacific
202100041_G5,PA,202100041_G5_R_W,413,Pacific
202100041_G6,PA,202100041_G6_R_W,413,Pacific
202100041_G7,PA,202100041_G7_R_W,413,Pacific
202100041_G8,PA,202100041_G8_R_W,413,Pacific
202100041_G9,PA,202100041_G9_R_W,413,Pacific
202100041_H1,PA,202100041_H1_R_W,413,Pacific
202100041_H10,PA,202100041_H10_R_W,413,Pacific
202100041_H11,PA,202100041_H11_R_W,413,Pacific
202100041_H12,PA,202100041_H12_R_W,413,Pacific
202100041_H2,PA,202100041_H2_R_W,413,Pacific
202100041_H3,PA,202100041_H3_R_W,413,Pacific
202100041_H4,PA,202100041_H4_R_W,413,Pacific
202100041_H5,PA,202100041_H5_R_W,413,Pacific
202100041_H6,PA,202100041_H6_R_W,413,Pacific
202100041_H7,PA,202100041_H7_R_W,413,Pacific
202100041_H8,PA,202100041_H8_R_W,413,Pacific
202100043_A1,PA,202100043_A1_R_W,413,Pacific
202100043_A10,PA,202100043_A10_R_W,413,Pacific
202100043_A11,PA,202100043_A11_R_W,413,Pacific
202100043_A12,PA,202100043_A12_R_W,413,Pacific
202100043_A2,PA,202100043_A2_R_W,413,Pacific
202100043_A3,PA,202100043_A3_R_W,413,Pacific
202100043_A4,PA,202100043_A4_R_W,413,Pacific
