fishno,folder,picname,cal 
IP_15_L_W,IP,IP_15_L_W,515
IP_15_R_W,IP,IP_15_R_W,515
IP_16_L_W,IP,IP_16_L_W,515
IP_16_R_W,IP,IP_16_R_W,515
IP_17_L_W,IP,IP_17_L_W,515
IP_17_R_W,IP,IP_17_R_W,515
IP_19_L_W,IP,IP_19_L_W,515
IP_19_R_W,IP,IP_19_R_W,515
IP_20_L_W,IP,IP_20_L_W,515
IP_20_R_W,IP,IP_20_R_W,515
IP_21_L_W,IP,IP_21_L_W,515
IP_21_R_W,IP,IP_21_R_W,515
IP_22_L_W,IP,IP_22_L_W,515
IP_22_R_W,IP,IP_22_R_W,515
IP_23_L_W,IP,IP_23_L_W,515
IP_23_R_W,IP,IP_23_R_W,515
IP_32_R_W,IP,IP_32_R_W,515
IP_33_L_W,IP,IP_33_L_W,515
IP_33_R_W,IP,IP_33_R_W,515
IP_35_L_W,IP,IP_35_L_W,515
IP_35_R_W,IP,IP_35_R_W,515
