country,station,fishno,folder,picname,cal ,pop
Norway,Kongsfjord,Kong_22_0002,JK,Kong_22_0002_R_W,1225,R
Norway,Kongsfjord,Kong_22_0004,JK,Kong_22_0004_L_W,1225,L
Norway,Kongsfjord,Kong_22_0004,JK,Kong_22_0004_R_W,1225,R
Norway,Kongsfjord,Kong_22_0005,JK,Kong_22_0005_R_W,1225,R
Norway,Kongsfjord,Kong_22_0006,JK,Kong_22_0006_L_W,1225,L
Norway,Kongsfjord,Kong_22_0007,JK,Kong_22_0007_L_W,1225,L
Norway,Kongsfjord,Kong_22_0007,JK,Kong_22_0007_R_W,1225,R
Norway,Kongsfjord,Kong_22_0008,JK,Kong_22_0008_L_W,1225,L
Norway,Kongsfjord,Kong_22_0009,JK,Kong_22_0009_L_W,1225,L
Norway,Kongsfjord,Kong_22_0009,JK,Kong_22_0009_R_W,1225,R
Norway,Kongsfjord,Kong_22_0010,JK,Kong_22_0010_L_W,1225,L
Norway,Kongsfjord,Kong_22_0011,JK,Kong_22_0011_L_W,1225,L
Norway,Kongsfjord,Kong_22_0018,JK,Kong_22_0018_L_W,1225,L
Norway,Kongsfjord,Kong_22_0018,JK,Kong_22_0018_R_W,1225,R
Norway,Kongsfjord,Kong_22_0019,JK,Kong_22_0019_L_W,1225,L
Norway,Kongsfjord,Kong_22_0019,JK,Kong_22_0019_R_W,1225,R
Norway,Kongsfjord,Kong_22_0020,JK,Kong_22_0020_L_W,1225,L
Norway,Kongsfjord,Kong_22_0020,JK,Kong_22_0020_R_W,1225,R
Norway,Kongsfjord,Kong_22_0021,JK,Kong_22_0021_L_W,1225,L
Norway,Kongsfjord,Kong_22_0022,JK,Kong_22_0022_L_W,1225,L
Norway,Kongsfjord,Kong_22_0022,JK,Kong_22_0022_R_W,1225,R
Norway,Kongsfjord,Kong_22_0023,JK,Kong_22_0023_R_W,1225,R
Norway,Kongsfjord,Kong_22_0024,JK,Kong_22_0024_L_W,1225,L
Norway,Kongsfjord,Kong_22_0024,JK,Kong_22_0024_R_W,1225,R
Norway,Kongsfjord,Kong_22_0025,JK,Kong_22_0025_L_W,1225,L
Norway,Kongsfjord,Kong_22_0025,JK,Kong_22_0025_R_W,1225,R
Norway,Kongsfjord,Kong_22_0026,JK,Kong_22_0026_L_W,1225,L
Norway,Kongsfjord,Kong_22_0026,JK,Kong_22_0026_R_W,1225,R
Norway,Kongsfjord,Kong_22_0104,JK,Kong_22_0104_R_W,1225,R
Norway,Kongsfjord,Kong_22_0105,JK,Kong_22_0105_L_W,1225,L
Norway,Kongsfjord,Kong_22_0105,JK,Kong_22_0105_R_W,1225,R
Norway,Kongsfjord,Kong_22_0106,JK,Kong_22_0106_L_W,1225,L
Norway,Kongsfjord,Kong_22_0106,JK,Kong_22_0106_R_W,1225,R
Norway,Kongsfjord,Kong_22_0107,JK,Kong_22_0107_L_W,1225,L
Norway,Kongsfjord,Kong_22_0108,JK,Kong_22_0108_L_W,1225,L
Norway,Kongsfjord,Kong_22_0109,JK,Kong_22_0109_L_W,1225,L
Norway,Kongsfjord,Kong_22_0109,JK,Kong_22_0109_R_W,1225,R
Norway,Kongsfjord,Kong_22_0111,JK,Kong_22_0111_L_W,1225,L
Norway,Kongsfjord,Kong_22_0111,JK,Kong_22_0111_R_W,1225,R
Norway,Kongsfjord,Kong_22_0112,JK,Kong_22_0112_L_W,1225,L
Norway,Kongsfjord,Kong_22_0112,JK,Kong_22_0112_R_W,1225,R
Norway,Kongsfjord,Kong_22_0113,JK,Kong_22_0113_L_W,1225,L
Norway,Kongsfjord,Kong_22_0113,JK,Kong_22_0113_R_W,1225,R
Norway,Kongsfjord,Kong_22_0120,JK,Kong_22_0120_R_W,1225,R
Norway,Kongsfjord,Kong_22_0135,JK,Kong_22_0135_L_W,1225,L
Norway,Kongsfjord,Kong_22_0135,JK,Kong_22_0135_R_W,1225,R
Norway,Kongsfjord,Kong_22_0136,JK,Kong_22_0136_L_W,1225,L
Norway,Kongsfjord,Kong_22_0136,JK,Kong_22_0136_R_W,1225,R
Norway,Kongsfjord,Kong_22_0698,JK,Kong_22_0698_L_W,1225,L
Norway,Kongsfjord,Kong_22_0721,JK,Kong_22_0721_R_W,1225,R
Norway,Kongsfjord,Kong_22_0748,JK,Kong_22_0748_L_W,1225,L
Norway,Kongsfjord,Kong_22_0748,JK,Kong_22_0748_R_W,1225,R
Norway,Kongsfjord,Kong_22_0750,JK,Kong_22_0750_L_W,1225,L
Norway,Kongsfjord,Kong_22_0750,JK,Kong_22_0750_R_W,1225,R
Norway,Kongsfjord,Kong_22_0752,JK,Kong_22_0752_L_W,1225,L
Norway,Kongsfjord,Kong_22_0752,JK,Kong_22_0752_R_W,1225,R
Norway,Kongsfjord,Kong_22_0779,JK,Kong_22_0779_L_W,1225,L
Norway,Kongsfjord,Kong_22_0779,JK,Kong_22_0779_R_W,1225,R
Norway,Kongsfjord,Kong_22_0798,JK,Kong_22_0798_L_W,1225,L
Norway,Kongsfjord,Kong_22_0798,JK,Kong_22_0798_R_W,1225,R
